timestamp,value
2024-05-11T08:25:03Z,79.5
2024-05-11T08:26:03Z,79.1
2024-05-11T08:27:03Z,75.1
2024-05-11T08:28:03Z,75.4
2024-05-11T08:29:03Z,77.1
2024-05-11T08:30:03Z,79.0
2024-05-11T08:31:33Z,83.7
2024-05-11T08:32:33Z,83.4
2024-05-11T08:33:33Z,83.5
2024-05-11T08:34:33Z,83.5
2024-05-11T08:35:33Z,83.4
2024-05-11T08:36:33Z,83.8
2024-05-11T08:37:33Z,86.1
2024-05-11T08:38:33Z,85.4
2024-05-11T08:39:33Z,84.6
2024-05-11T08:40:33Z,85.1
2024-05-11T08:41:33Z,85.0
2024-05-11T08:42:33Z,84.3
2024-05-11T08:43:33Z,82.5
2024-05-11T08:44:33Z,82.3
2024-05-11T08:45:33Z,82.6
2024-05-11T08:46:33Z,82.5
2024-05-11T08:47:33Z,82.5
2024-05-11T08:48:33Z,82.6
2024-05-11T08:49:33Z,83.5
2024-05-11T08:50:33Z,84.3
2024-05-11T08:51:33Z,84.5
2024-05-11T08:52:33Z,84.9
2024-05-11T08:53:33Z,84.9
2024-05-11T08:54:33Z,85.4
2024-05-11T08:55:33Z,86.0
2024-05-11T08:56:33Z,86.5
2024-05-11T08:57:33Z,87.1
2024-05-11T08:58:33Z,87.4
2024-05-11T08:59:33Z,88.0
2024-05-11T09:00:33Z,88.2
2024-05-11T09:01:33Z,88.5
2024-05-11T09:02:33Z,88.5
2024-05-11T09:03:33Z,88.8
2024-05-11T09:04:33Z,89.3
2024-05-11T09:05:33Z,90.9
2024-05-11T09:06:33Z,91.4
2024-05-11T09:07:33Z,91.4
2024-05-11T09:08:33Z,91.3
2024-05-11T09:09:33Z,50.0
2024-05-11T09:10:33Z,90.8
2024-05-11T09:11:33Z,89.4
2024-05-11T09:12:33Z,88.7
2024-05-11T09:13:33Z,88.3
2024-05-11T09:14:33Z,88.0
2024-05-11T09:15:33Z,88.3
2024-05-11T09:16:33Z,88.3
2024-05-11T09:17:33Z,88.6
2024-05-11T09:18:33Z,89.5
2024-05-11T09:19:33Z,89.7
2024-05-11T09:20:33Z,90.8
2024-05-11T09:21:33Z,91.8
2024-05-11T09:22:33Z,92.1
2024-05-11T09:23:33Z,92.4
2024-05-11T09:24:33Z,93.3
2024-05-11T09:25:33Z,93.6
2024-05-11T09:26:33Z,93.2
2024-05-11T09:27:33Z,93.6
2024-05-11T09:28:33Z,94.0
2024-05-11T09:29:33Z,93.9
2024-05-11T09:30:33Z,93.5
2024-05-11T09:31:33Z,94.0
2024-05-11T09:32:33Z,94.8
2024-05-11T09:33:33Z,94.4
2024-05-11T09:34:33Z,94.8
2024-05-11T09:35:33Z,94.6
2024-05-11T09:36:33Z,95.1
2024-05-11T09:37:33Z,94.8
2024-05-11T09:38:33Z,95.4
2024-05-11T09:39:33Z,50.0
2024-05-11T09:40:33Z,95.0
2024-05-11T09:41:33Z,95.0
2024-05-11T09:42:33Z,95.3
2024-05-11T09:43:33Z,94.5
2024-05-11T09:44:33Z,94.2
2024-05-11T09:45:33Z,94.3
2024-05-11T09:46:33Z,94.9
2024-05-11T09:47:33Z,95.5
2024-05-11T09:48:33Z,95.7
2024-05-11T09:49:33Z,95.6
2024-05-11T09:50:33Z,93.5
2024-05-11T09:51:33Z,94.5
2024-05-11T09:52:33Z,93.1
2024-05-11T09:53:33Z,92.5
2024-05-11T09:54:33Z,91.8
2024-05-11T09:55:33Z,91.5
2024-05-11T09:56:33Z,91.4
2024-05-11T09:57:33Z,91.7
2024-05-11T09:58:33Z,92.3
2024-05-11T09:59:33Z,91.2
2024-05-11T10:00:33Z,90.7
2024-05-11T10:01:33Z,90.8
2024-05-11T10:02:33Z,92.1
2024-05-11T10:03:33Z,92.4
2024-05-11T10:04:33Z,92.1
2024-05-11T10:05:33Z,89.8
2024-05-11T10:06:33Z,91.3
2024-05-11T10:07:33Z,92.5
2024-05-11T10:08:33Z,92.6
2024-05-11T10:09:33Z,93.0
2024-05-11T10:10:33Z,92.7
2024-05-11T10:11:33Z,92.2
2024-05-11T10:12:33Z,90.9
2024-05-11T10:13:33Z,90.6
2024-05-11T10:14:33Z,91.4
2024-05-11T10:15:33Z,92.4
2024-05-11T10:16:33Z,93.6
2024-05-11T10:17:33Z,94.2
2024-05-11T10:18:33Z,94.5
2024-05-11T10:19:33Z,93.5
2024-05-11T10:20:33Z,91.8
2024-05-11T10:21:33Z,90.7
2024-05-11T10:22:33Z,90.6
2024-05-11T10:23:33Z,90.0
2024-05-11T10:24:33Z,89.4
2024-05-11T10:25:33Z,88.8
2024-05-11T10:26:33Z,88.6
2024-05-11T10:27:33Z,88.6
2024-05-11T10:28:33Z,88.7
2024-05-11T10:29:33Z,88.6
2024-05-11T10:30:33Z,88.8
2024-05-11T10:31:33Z,88.7
2024-05-11T10:32:33Z,88.8
2024-05-11T10:33:33Z,50.0
2024-05-11T10:34:33Z,89.0
2024-05-11T10:35:33Z,89.9
2024-05-11T10:36:33Z,90.7
2024-05-11T10:37:33Z,91.4
2024-05-11T10:38:33Z,91.9
2024-05-11T10:39:33Z,92.3
2024-05-11T10:40:33Z,92.8
2024-05-11T10:41:33Z,93.2
2024-05-11T10:42:33Z,93.4
2024-05-11T10:43:33Z,93.5
2024-05-11T10:44:33Z,93.5
2024-05-11T10:45:33Z,93.7
2024-05-11T10:46:33Z,93.7
2024-05-11T10:47:33Z,93.9
2024-05-11T10:48:33Z,94.0
2024-05-11T10:49:33Z,94.0
2024-05-11T10:50:33Z,94.0
2024-05-11T10:51:33Z,93.9
2024-05-11T10:52:33Z,93.9
2024-05-11T10:53:33Z,94.0
2024-05-11T10:54:33Z,94.0
2024-05-11T10:55:33Z,93.9
2024-05-11T10:56:33Z,94.0
2024-05-11T10:57:33Z,94.0
2024-05-11T10:58:33Z,94.1
2024-05-11T10:59:33Z,94.1
2024-05-11T11:00:33Z,93.9
2024-05-11T11:01:33Z,94.1
2024-05-11T11:02:33Z,94.0
2024-05-11T11:03:33Z,94.0
2024-05-11T11:04:33Z,94.2
2024-05-11T11:05:33Z,94.2
2024-05-11T11:06:33Z,94.2
2024-05-11T11:07:33Z,94.3
2024-05-11T11:08:33Z,94.2
2024-05-11T11:09:33Z,94.3
2024-05-11T11:10:33Z,94.4
2024-05-11T11:11:33Z,94.5
2024-05-11T11:12:33Z,94.6
2024-05-11T11:13:33Z,94.5
2024-05-11T11:14:33Z,94.5
2024-05-11T11:15:33Z,94.6
2024-05-11T11:16:33Z,94.5
2024-05-11T11:17:33Z,94.4
2024-05-11T11:18:33Z,94.6
2024-05-11T11:19:33Z,94.8
2024-05-11T11:20:33Z,93.4
2024-05-11T11:21:33Z,93.8
2024-05-11T11:22:33Z,94.1
2024-05-11T11:23:33Z,94.3
2024-05-11T11:24:33Z,94.6
2024-05-11T11:25:33Z,94.8
2024-05-11T11:26:33Z,94.9
2024-05-11T11:27:33Z,95.0
2024-05-11T11:28:33Z,95.0
2024-05-11T11:29:33Z,95.3
2024-05-11T11:30:33Z,95.0
2024-05-11T11:31:33Z,94.8
2024-05-11T11:32:33Z,95.0
2024-05-11T11:33:33Z,94.7
2024-05-11T11:34:33Z,95.1
2024-05-11T11:35:33Z,95.1
2024-05-11T11:36:33Z,95.8
2024-05-11T11:37:33Z,96.2
2024-05-11T11:38:33Z,96.1
2024-05-11T11:39:33Z,96.1
2024-05-11T11:40:33Z,96.0
2024-05-11T11:41:33Z,96.1
2024-05-11T11:42:33Z,96.0
2024-05-11T11:43:33Z,96.1
2024-05-11T11:44:33Z,50.0
2024-05-11T11:45:33Z,96.0
2024-05-11T11:46:33Z,96.1
2024-05-11T11:47:33Z,96.2
2024-05-11T11:48:33Z,96.4
2024-05-11T11:49:33Z,96.4
2024-05-11T11:50:33Z,96.4
2024-05-11T11:51:33Z,96.4
2024-05-11T11:52:33Z,96.3
2024-05-11T11:53:33Z,96.4
2024-05-11T11:54:33Z,96.3
2024-05-11T11:55:33Z,96.4
2024-05-11T11:56:33Z,96.5
2024-05-11T11:57:33Z,96.4
2024-05-11T11:58:33Z,96.4
2024-05-11T11:59:33Z,96.4
2024-05-11T12:00:33Z,96.3
2024-05-11T12:01:33Z,96.3
2024-05-11T12:02:33Z,50.0
2024-05-11T12:03:33Z,96.8
2024-05-11T12:04:33Z,97.4
2024-05-11T12:05:33Z,97.9
2024-05-11T12:06:33Z,98.0
2024-05-11T12:07:33Z,97.4
2024-05-11T12:08:33Z,97.0
2024-05-11T12:09:33Z,96.9
2024-05-11T12:10:33Z,96.5
2024-05-11T12:11:33Z,94.9
2024-05-11T12:12:33Z,95.0
2024-05-11T12:13:33Z,95.8
2024-05-11T12:14:33Z,95.5
2024-05-11T12:15:33Z,95.7
2024-05-11T12:16:33Z,95.7
2024-05-11T12:17:33Z,95.9
2024-05-11T12:18:33Z,96.1
2024-05-11T12:19:33Z,96.1
2024-05-11T12:20:33Z,96.1
2024-05-11T12:21:33Z,96.1
2024-05-11T12:22:33Z,96.0
2024-05-11T12:23:33Z,95.9
2024-05-11T12:24:33Z,95.8
2024-05-11T12:25:33Z,95.8
2024-05-11T12:26:33Z,50.0
2024-05-11T12:27:33Z,95.6
2024-05-11T12:28:33Z,95.3
2024-05-11T12:29:33Z,95.0
2024-05-11T12:30:33Z,94.7
2024-05-11T12:31:33Z,94.7
2024-05-11T12:32:33Z,94.6
2024-05-11T12:33:33Z,94.5
2024-05-11T12:34:33Z,94.8
2024-05-11T12:35:33Z,94.6
2024-05-11T12:36:33Z,94.5
2024-05-11T12:37:33Z,94.4
2024-05-11T12:38:33Z,94.3
2024-05-11T12:39:33Z,94.2
2024-05-11T12:40:33Z,94.1
2024-05-11T12:41:33Z,93.9
2024-05-11T12:42:33Z,93.9
2024-05-11T12:43:33Z,94.3
2024-05-11T12:44:33Z,94.5
2024-05-11T12:45:33Z,95.0
2024-05-11T12:46:33Z,50.0
2024-05-11T12:47:33Z,94.3
2024-05-11T12:48:33Z,92.4
2024-05-11T12:49:33Z,92.9
2024-05-11T12:50:33Z,93.1
2024-05-11T12:51:33Z,92.6
2024-05-11T12:52:33Z,50.0
2024-05-11T12:53:33Z,50.0
2024-05-11T12:54:33Z,91.4
2024-05-11T12:55:33Z,91.2
2024-05-11T12:56:33Z,90.4
2024-05-11T12:57:33Z,90.6
2024-05-11T12:58:33Z,91.4
2024-05-11T12:59:33Z,50.0
2024-05-11T13:00:33Z,92.2
2024-05-11T13:01:33Z,90.9
2024-05-11T13:02:33Z,91.3
2024-05-11T13:03:33Z,91.7
2024-05-11T13:04:33Z,92.4
2024-05-11T13:05:33Z,92.9
2024-05-11T13:06:33Z,50.0
2024-05-11T13:07:33Z,94.3
2024-05-11T13:08:33Z,94.7
2024-05-11T13:09:33Z,93.0
2024-05-11T13:10:33Z,93.4
2024-05-11T13:11:33Z,91.7
2024-05-11T13:12:33Z,92.8
2024-05-11T13:13:33Z,93.6
2024-05-11T13:14:33Z,95.5
2024-05-11T13:15:33Z,96.8
2024-05-11T13:16:33Z,95.4
2024-05-11T13:17:33Z,94.8
2024-05-11T13:18:33Z,93.7
2024-05-11T13:19:33Z,95.1
2024-05-11T13:20:33Z,95.9
2024-05-11T13:21:33Z,50.0
2024-05-11T13:22:33Z,95.1
2024-05-11T13:23:33Z,95.5
2024-05-11T13:24:33Z,95.9
2024-05-11T13:25:33Z,95.7
2024-05-11T13:26:33Z,95.8
2024-05-11T13:27:33Z,50.0
2024-05-11T13:28:33Z,94.4
2024-05-11T13:29:33Z,93.0
2024-05-11T13:30:33Z,92.8
2024-05-11T13:31:33Z,91.7
2024-05-11T13:32:33Z,92.3
2024-05-11T13:33:33Z,91.0
2024-05-11T13:34:33Z,50.0
2024-05-11T13:35:33Z,85.6
2024-05-11T13:36:33Z,84.9
2024-05-11T13:37:33Z,84.3
2024-05-11T13:38:33Z,85.0
2024-05-11T13:39:33Z,84.3
2024-05-11T13:40:33Z,83.4
2024-05-11T13:41:33Z,82.8
2024-05-11T13:42:33Z,83.8
2024-05-11T13:43:33Z,87.6
2024-05-11T13:44:33Z,89.4
2024-05-11T13:45:33Z,90.4
2024-05-11T13:46:33Z,88.4
2024-05-11T13:47:33Z,86.3
2024-05-11T13:48:33Z,85.2
2024-05-11T13:49:33Z,84.3
2024-05-11T13:50:33Z,85.2
2024-05-11T13:51:33Z,85.7
2024-05-11T13:52:33Z,86.9
2024-05-11T13:53:33Z,85.8
2024-05-11T13:54:33Z,85.6
2024-05-11T13:55:33Z,85.2
2024-05-11T13:56:33Z,85.4
2024-05-11T13:57:33Z,85.2
2024-05-11T13:58:33Z,85.4
2024-05-11T13:59:33Z,87.1
2024-05-11T14:00:33Z,89.1
2024-05-11T14:01:33Z,91.6
2024-05-11T14:02:33Z,92.9
2024-05-11T14:03:33Z,95.7
2024-05-11T14:04:33Z,96.9
2024-05-11T14:05:33Z,97.3
2024-05-11T14:06:33Z,97.6
2024-05-11T14:07:33Z,98.0
2024-05-11T14:08:33Z,98.1
2024-05-11T14:09:33Z,98.0
2024-05-11T14:10:33Z,98.1
2024-05-11T14:11:33Z,98.4
2024-05-11T14:12:33Z,98.2
2024-05-11T14:13:33Z,98.4
2024-05-11T14:14:33Z,50.0
2024-05-11T14:15:33Z,96.9
2024-05-11T14:16:33Z,96.5
2024-05-11T14:17:33Z,94.9
2024-05-11T14:18:33Z,95.1
2024-05-11T14:19:33Z,96.1
2024-05-11T14:20:33Z,96.6
2024-05-11T14:21:33Z,96.7
2024-05-11T14:22:33Z,96.5
2024-05-11T14:23:33Z,96.5
2024-05-11T14:24:33Z,96.6
2024-05-11T14:25:33Z,97.2
2024-05-11T14:26:33Z,97.5
2024-05-11T14:27:33Z,96.9
2024-05-11T14:28:33Z,96.8
2024-05-11T14:29:33Z,50.0
2024-05-11T14:30:33Z,96.2
2024-05-11T14:31:33Z,50.0
2024-05-11T14:32:33Z,95.1
2024-05-11T14:33:33Z,95.4
2024-05-11T14:34:33Z,95.9
2024-05-11T14:35:33Z,50.0
2024-05-11T14:36:33Z,50.0
2024-05-11T14:37:33Z,96.2
2024-05-11T14:38:33Z,96.1
2024-05-11T14:39:33Z,95.6
2024-05-11T14:40:33Z,95.6
2024-05-11T14:41:33Z,95.5
2024-05-11T14:42:33Z,93.6
2024-05-11T14:43:33Z,50.0
2024-05-11T14:44:33Z,93.3
2024-05-11T14:45:33Z,93.2
2024-05-11T14:46:33Z,50.0
2024-05-11T14:47:33Z,50.0
2024-05-11T14:48:33Z,50.0
2024-05-11T14:49:33Z,94.8
2024-05-11T14:50:33Z,96.3
2024-05-11T14:51:33Z,50.0
2024-05-11T14:52:33Z,97.0
2024-05-11T14:53:33Z,97.7
2024-05-11T14:54:33Z,97.6
2024-05-11T14:55:33Z,97.0
2024-05-11T14:56:33Z,96.5
2024-05-11T14:57:33Z,93.7
2024-05-11T14:58:33Z,91.0
2024-05-11T14:59:33Z,92.5
2024-05-11T15:00:33Z,50.0
2024-05-11T15:01:33Z,50.0
2024-05-11T15:02:33Z,50.0
2024-05-11T15:03:33Z,92.1
2024-05-11T15:04:33Z,50.0
2024-05-11T15:05:33Z,50.0
2024-05-11T15:06:33Z,92.6
2024-05-11T15:07:33Z,92.7
2024-05-11T15:08:33Z,93.1
2024-05-11T15:09:33Z,50.0
2024-05-11T15:10:33Z,50.0
2024-05-11T15:11:33Z,50.0
